#PVWATTS: Hourly PV Performance Data,,,,
#City:,Brisbane,,,
#Country/Province:,AUS,,,
#Lat:," "" 27.38°S""",,,
#Long:," ""153.10°E""",,,
#Elev (m): ,5,,,
#Array Type:," ""Fixed Tilt""",,,
#Array Tilt (deg):,27.4,,,
#Array Azimuth (deg):,0,,,
#DC Rating (kW):,1.5,,,
#DC to AC Derate Factor:,0.77,,,
#AC Rating (kW):,1.15,,,
#,,,,
Year," ""Month"""," ""Day"""," ""Hour"""," ""AC Power (W)"""
1999,1,1, 01:00,0
1999,1,1, 02:00,0
1999,1,1, 03:00,0
1999,1,1, 04:00,0
1999,1,1, 05:00,0
1999,1,1, 06:00,0
1999,1,1, 07:00,8
1999,1,1, 08:00,135
1999,1,1, 09:00,207
1999,1,1, 10:00,484
1999,1,1, 11:00,557
1999,1,1, 12:00,328
1999,1,1, 13:00,600
1999,1,1, 14:00,303
1999,1,1, 15:00,251
1999,1,1, 16:00,186
1999,1,1, 17:00,73
1999,1,1, 18:00,2
1999,1,1, 19:00,0
1999,1,1, 20:00,0
1999,1,1, 21:00,0
1999,1,1, 22:00,0
1999,1,1, 23:00,0
1999,1,1, 24:00,0
1999,1,2, 01:00,0
1999,1,2, 02:00,0
1999,1,2, 03:00,0
1999,1,2, 04:00,0
1999,1,2, 05:00,0
1999,1,2, 06:00,0
1999,1,2, 07:00,8
1999,1,2, 08:00,135
1999,1,2, 09:00,207
1999,1,2, 10:00,266
1999,1,2, 11:00,308
1999,1,2, 12:00,329
1999,1,2, 13:00,324
1999,1,2, 14:00,302
1999,1,2, 15:00,252
1999,1,2, 16:00,188
1999,1,2, 17:00,72
1999,1,2, 18:00,2
1999,1,2, 19:00,0
1999,1,2, 20:00,0
1999,1,2, 21:00,0
1999,1,2, 22:00,0
1999,1,2, 23:00,0
1999,1,2, 24:00,0
1999,1,3, 01:00,0
1999,1,3, 02:00,0
1999,1,3, 03:00,0
1999,1,3, 04:00,0
1999,1,3, 05:00,0
1999,1,3, 06:00,0
1999,1,3, 07:00,58
1999,1,3, 08:00,236
1999,1,3, 09:00,203
1999,1,3, 10:00,477
1999,1,3, 11:00,555
1999,1,3, 12:00,893
1999,1,3, 13:00,581
1999,1,3, 14:00,896
1999,1,3, 15:00,755
1999,1,3, 16:00,329
1999,1,3, 17:00,296
1999,1,3, 18:00,17
1999,1,3, 19:00,0
1999,1,3, 20:00,0
1999,1,3, 21:00,0
1999,1,3, 22:00,0
1999,1,3, 23:00,0
1999,1,3, 24:00,0
1999,1,4, 01:00,0
1999,1,4, 02:00,0
1999,1,4, 03:00,0
1999,1,4, 04:00,0
1999,1,4, 05:00,0
1999,1,4, 06:00,0
1999,1,4, 07:00,58
1999,1,4, 08:00,231
1999,1,4, 09:00,367
1999,1,4, 10:00,478
1999,1,4, 11:00,548
1999,1,4, 12:00,594
1999,1,4, 13:00,584
1999,1,4, 14:00,976
1999,1,4, 15:00,764
1999,1,4, 16:00,579
1999,1,4, 17:00,295
1999,1,4, 18:00,32
1999,1,4, 19:00,0
1999,1,4, 20:00,0
1999,1,4, 21:00,0
1999,1,4, 22:00,0
1999,1,4, 23:00,0
1999,1,4, 24:00,0
1999,1,5, 01:00,0
1999,1,5, 02:00,0
1999,1,5, 03:00,0
1999,1,5, 04:00,0
1999,1,5, 05:00,0
1999,1,5, 06:00,0
1999,1,5, 07:00,139
1999,1,5, 08:00,348
1999,1,5, 09:00,366
1999,1,5, 10:00,810
1999,1,5, 11:00,921
1999,1,5, 12:00,902
1999,1,5, 13:00,979
1999,1,5, 14:00,906
1999,1,5, 15:00,796
1999,1,5, 16:00,583
1999,1,5, 17:00,296
1999,1,5, 18:00,29
1999,1,5, 19:00,0
1999,1,5, 20:00,0
1999,1,5, 21:00,0
1999,1,5, 22:00,0
1999,1,5, 23:00,0
1999,1,5, 24:00,0
1999,1,6, 01:00,0
1999,1,6, 02:00,0
1999,1,6, 03:00,0
1999,1,6, 04:00,0
1999,1,6, 05:00,0
1999,1,6, 06:00,0
1999,1,6, 07:00,139
1999,1,6, 08:00,374
1999,1,6, 09:00,367
1999,1,6, 10:00,800
1999,1,6, 11:00,940
1999,1,6, 12:00,1046
1999,1,6, 13:00,991
1999,1,6, 14:00,906
1999,1,6, 15:00,798
1999,1,6, 16:00,550
1999,1,6, 17:00,302
1999,1,6, 18:00,29
1999,1,6, 19:00,0
1999,1,6, 20:00,0
1999,1,6, 21:00,0
1999,1,6, 22:00,0
1999,1,6, 23:00,0
1999,1,6, 24:00,0
1999,1,7, 01:00,0
1999,1,7, 02:00,0
1999,1,7, 03:00,0
1999,1,7, 04:00,0
1999,1,7, 05:00,0
1999,1,7, 06:00,0
1999,1,7, 07:00,135
1999,1,7, 08:00,348
1999,1,7, 09:00,633
1999,1,7, 10:00,800
1999,1,7, 11:00,998
1999,1,7, 12:00,987
1999,1,7, 13:00,1051
1999,1,7, 14:00,961
1999,1,7, 15:00,808
1999,1,7, 16:00,582
1999,1,7, 17:00,300
1999,1,7, 18:00,40
1999,1,7, 19:00,0
1999,1,7, 20:00,0
1999,1,7, 21:00,0
1999,1,7, 22:00,0
1999,1,7, 23:00,0
1999,1,7, 24:00,0
1999,1,8, 01:00,0
1999,1,8, 02:00,0
1999,1,8, 03:00,0
1999,1,8, 04:00,0
1999,1,8, 05:00,0
1999,1,8, 06:00,0
1999,1,8, 07:00,133
1999,1,8, 08:00,367
1999,1,8, 09:00,620
1999,1,8, 10:00,788
1999,1,8, 11:00,906
1999,1,8, 12:00,1029
1999,1,8, 13:00,1023
1999,1,8, 14:00,957
1999,1,8, 15:00,805
1999,1,8, 16:00,584
1999,1,8, 17:00,301
1999,1,8, 18:00,31
1999,1,8, 19:00,0
1999,1,8, 20:00,0
1999,1,8, 21:00,0
1999,1,8, 22:00,0
1999,1,8, 23:00,0
1999,1,8, 24:00,0
1999,1,9, 01:00,0
1999,1,9, 02:00,0
1999,1,9, 03:00,0
